product_name,price,rating,availability,number_of_reviews,category,product_url
It's Only the Himalayas,45.17,2,19,0,Travel,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
In Her Wake,12.84,1,19,0,Thriller,http://books.toscrape.com/catalogue/in-her-wake_980/index.html
How Music Works,37.32,2,19,0,Music,http://books.toscrape.com/catalogue/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,19,0,Food and Drink,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),25.27,5,19,0,Romance,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,34.53,5,19,0,Romance,http://books.toscrape.com/catalogue/black-dust_976/index.html
Birdsong: A Story in Pictures,54.64,3,19,0,Childrens,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,19,0,Default,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,53.13,3,19,0,Default,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,18,0,Nonfiction,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,44.18,4,18,0,Art,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,18,0,Spirituality,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,18,0,Nonfiction,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,23.82,5,18,0,Thriller,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
The Bear and the Piano,36.89,1,18,0,Childrens,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Sophie's World,15.94,5,18,0,Philosophy,http://books.toscrape.com/catalogue/sophies-world_966/index.html
Penny Maybe,33.29,3,18,0,Default,http://books.toscrape.com/catalogue/penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,18.02,2,18,0,Default,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",19.63,1,18,0,Mystery,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Behind Closed Doors,52.22,4,18,0,Thriller,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
You can't bury them all: Poems,33.63,2,17,0,Poetry,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,57.31,3,17,0,Poetry,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Reasons to Stay Alive,26.41,2,17,0,Nonfiction,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
Private Paris (Private #10),47.61,5,17,0,Fiction,http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,17,0,Nonfiction,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Without Borders (Wanderlove #1),45.07,2,16,0,New Adult,http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
When We Collided,31.77,1,16,0,Contemporary,http://books.toscrape.com/catalogue/when-we-collided_955/index.html
"We Love You, Charlie Freeman",50.27,5,16,0,Fiction,http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Untitled Collection: Sabbath Poems 2014,14.27,4,16,0,Poetry,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,16,0,Nonfiction,http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Unicorn Tracks,18.78,3,16,0,Fantasy,http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
